Age,Monthly Income (INR),Risk Appetite,Time Horizon (Years),Investment Goal,Recommended SIP Funds
26,123032,High,3,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
37,28983,High,20,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
45,62047,High,20,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
23,92445,Low,18,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
41,30887,Moderate,17,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
25,132808,High,16,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
24,92318,Low,20,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
58,115772,Moderate,19,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
59,79614,Moderate,11,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
49,48714,High,5,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
26,62141,Moderate,10,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
55,109920,Low,11,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
57,22074,High,4,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
42,142478,Low,9,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
41,149048,High,16,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
37,95378,Moderate,7,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
27,59385,High,11,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
28,116245,Low,6,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
24,33168,High,11,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
38,112714,High,3,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
39,111180,High,10,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
25,43075,Low,10,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
49,76171,Moderate,13,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
56,81385,High,10,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
52,104005,Moderate,14,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
30,84696,Moderate,17,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
57,96037,Moderate,14,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
36,79733,High,8,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
31,35695,High,8,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
40,148718,Low,9,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
54,52340,High,20,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
36,128956,High,2,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
26,62998,High,5,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
27,70589,Low,11,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
42,88571,Moderate,3,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
28,82104,High,7,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
23,81792,Low,7,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
33,132019,High,7,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
38,46717,Low,20,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
60,67413,Moderate,17,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
46,27744,High,12,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
29,63638,Low,9,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
55,84135,High,10,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
49,91888,Low,2,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
31,88003,Moderate,17,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
29,111874,Low,4,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
33,55911,Low,7,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
21,47993,High,9,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
59,78545,Low,18,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
22,130036,High,11,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
52,73663,Moderate,18,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
45,38850,Low,20,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
34,69420,Moderate,14,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
30,113979,Low,19,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
50,29340,High,2,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
49,31646,High,20,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
59,140393,Moderate,1,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
28,47673,High,9,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
47,145715,Low,18,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
48,148516,Low,1,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
47,123498,Low,17,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
41,129732,Low,9,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
40,34855,Moderate,4,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
60,125809,Low,7,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
28,90786,High,15,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
28,43950,Moderate,5,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
34,73158,Low,19,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
44,140581,Moderate,5,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
36,56099,Moderate,8,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
45,42272,High,14,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
44,87368,Moderate,4,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
25,44394,Moderate,6,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
35,23080,Low,18,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
45,98602,High,18,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
56,27129,Low,13,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
59,47159,Moderate,2,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
33,81846,Low,8,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
42,37467,Low,2,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
37,84674,High,6,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
30,103587,Moderate,2,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
31,136918,Low,7,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
54,41860,Low,3,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
35,88723,Low,2,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
30,117980,Low,7,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
27,30485,Low,16,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
55,53625,High,16,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
40,100066,Moderate,14,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
27,144421,Moderate,17,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
59,103560,Low,16,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
29,132093,Moderate,15,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
35,76368,High,14,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
28,93311,High,16,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
39,26071,Moderate,1,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
53,95713,Moderate,19,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
27,50835,Low,7,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
34,92288,High,11,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
43,94010,Moderate,4,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
54,147547,Moderate,17,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
56,116964,Low,12,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
23,131985,Moderate,13,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
25,131220,High,20,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
53,118734,Low,6,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
31,53445,Low,12,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
42,28502,Moderate,1,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
27,93797,Low,5,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
34,146853,High,1,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
20,111503,Low,2,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
22,30814,Moderate,15,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
58,118342,Low,8,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
56,28900,Moderate,1,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
51,48859,Low,10,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
23,53151,High,11,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
54,94069,Low,9,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
26,103540,Moderate,7,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
48,77725,High,1,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
29,50120,Moderate,12,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
59,83695,High,13,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
39,141064,Low,8,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
57,94321,High,14,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
30,62243,Moderate,6,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
36,90852,Low,11,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
33,37091,Low,3,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
50,100216,Low,10,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
60,37119,High,10,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
57,82883,High,8,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
28,26637,Moderate,15,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
34,96545,High,15,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
23,137614,Low,14,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
26,127554,High,10,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
25,21955,High,1,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
27,145571,Low,14,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
53,123325,Low,17,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
22,98924,Moderate,12,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
21,76416,Moderate,5,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
31,64489,High,6,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
34,64281,High,18,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
27,119209,Low,16,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
46,133992,Low,16,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
54,120916,Moderate,20,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
31,104883,Moderate,12,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
56,64862,Moderate,15,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
44,94900,Moderate,1,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
56,83942,Moderate,18,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
47,29477,High,13,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
56,125971,Low,9,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
45,143558,High,13,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
60,144983,High,2,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
38,118998,Moderate,16,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
34,131620,Low,17,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
29,115239,High,17,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
33,86242,High,16,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
49,64958,Moderate,8,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
57,82418,Low,19,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
23,41696,High,19,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
39,38060,Moderate,5,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
43,24898,Moderate,5,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
25,126638,High,18,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
46,116802,Low,7,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
22,92195,High,7,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
41,62313,High,1,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
36,121548,High,13,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
55,40900,Moderate,13,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
40,140227,High,19,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
54,99766,Low,1,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
45,24678,Low,11,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
51,60921,Low,1,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
37,100130,Moderate,8,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
33,80555,High,19,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
29,72486,Low,10,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
43,104254,High,3,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
47,99644,Low,14,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
52,51755,High,13,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
51,127362,High,5,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
42,36895,High,7,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
49,59422,High,12,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
56,28676,High,4,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
37,135486,Low,2,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
51,112628,Low,1,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
28,80757,Moderate,8,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
45,28741,Moderate,16,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
24,79961,High,16,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
24,118594,Moderate,11,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
22,87364,High,2,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
33,120347,Moderate,14,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
27,111542,Low,7,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
45,90517,Moderate,6,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
38,119531,Low,15,Other,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
58,146765,High,8,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
37,114287,High,8,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
49,81045,Moderate,9,Tax Saving,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
48,62818,Low,18,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
48,59978,Low,2,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
44,43381,Low,13,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
20,77713,High,14,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
41,56563,Low,2,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
47,61710,Low,10,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
20,128017,Low,8,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
40,27205,Moderate,2,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
30,64333,Moderate,13,Wealth Creation,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
29,130022,High,9,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
30,24019,High,8,Tax Saving,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
36,47330,Low,7,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
45,70218,High,1,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
31,44529,Low,5,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
33,133290,Moderate,8,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
45,24392,Low,17,Wealth Creation,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
20,106147,High,13,Other,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
42,98035,High,10,Wealth Creation,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
28,101828,Moderate,16,Retirement,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
52,89613,Low,7,Retirement,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
30,32350,High,7,Retirement,"Mirae Asset Emerging Bluechip Fund, Axis Midcap Fund, SBI Small Cap Fund"
50,30837,Moderate,2,Other,"Axis Bluechip Fund, Mirae Asset Large Cap Fund, ICICI Prudential Balanced Advantage Fund"
58,56533,Low,13,Tax Saving,"HDFC Hybrid Debt Fund, ICICI Prudential Equity & Debt Fund, Kotak Balanced Advantage Fund"
